Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,45.31,45.90,45.23,45.78,3359400,44.66
2011-12-29,45.48,45.93,45.46,45.85,3255100,44.73
2011-12-28,46.17,46.30,45.33,45.46,3479500,44.35
2011-12-27,46.03,46.48,45.90,46.23,2832800,45.10
2011-12-23,45.54,46.20,45.54,46.17,2827900,45.04
2011-12-22,45.39,45.75,45.19,45.57,4800600,44.45
2011-12-21,45.21,45.40,44.48,45.18,4888600,44.07
2011-12-20,44.16,45.10,44.06,45.01,6994900,43.91
2011-12-19,44.24,44.46,43.06,43.24,6089300,42.18
2011-12-16,44.02,44.52,43.60,43.98,9270400,42.90
2011-12-15,44.06,44.26,43.35,43.70,5909300,42.63
2011-12-14,43.32,43.96,43.06,43.22,8316000,42.16
2011-12-13,44.93,45.00,43.16,43.49,10580600,42.42
2011-12-12,44.06,44.45,43.60,43.91,8460400,42.83
2011-12-09,44.14,45.59,43.31,45.04,21885200,43.94
2011-12-08,47.54,47.72,46.38,46.52,6157200,45.38
2011-12-07,47.63,48.34,47.38,48.08,5118600,46.90
2011-12-06,47.94,48.41,47.62,47.94,5107000,46.77
2011-12-05,47.57,48.30,47.47,47.98,7092700,46.80
2011-12-02,47.83,47.95,46.95,47.02,4576000,45.87
2011-12-01,47.50,47.96,47.12,47.29,4871700,46.13
2011-11-30,46.73,47.78,46.73,47.72,8120200,46.55
2011-11-29,45.01,45.49,44.81,45.08,5383500,43.98
2011-11-28,45.26,45.53,44.64,45.01,6186600,43.91
2011-11-25,44.06,44.58,43.79,43.86,3036500,42.79
2011-11-23,44.89,45.01,44.07,44.08,6452400,43.00
2011-11-22,45.58,45.92,45.06,45.40,6188600,44.29
2011-11-21,45.49,45.90,45.05,45.48,7131800,44.37
2011-11-18,46.36,46.71,45.91,46.41,6108000,45.27
2011-11-17,46.88,47.22,45.55,46.07,8055800,44.94
2011-11-16,47.51,47.98,47.00,47.10,6611500,45.95
2011-11-15,47.97,48.64,47.63,48.30,5526000,47.12
2011-11-14,48.40,48.66,47.95,48.25,4470300,47.07
2011-11-11,48.32,48.91,48.20,48.52,5616700,47.33
2011-11-10,47.78,48.04,47.07,47.51,7953500,46.35
2011-11-09,48.77,48.93,47.29,47.59,11166500,46.02
2011-11-08,49.07,49.92,48.78,49.81,8290000,48.17
2011-11-07,48.56,49.00,47.96,48.99,10423100,47.38
2011-11-04,48.58,48.78,47.87,48.70,7063400,47.10
2011-11-03,48.58,48.96,47.67,48.85,7648000,47.24
2011-11-02,47.75,48.17,47.17,47.83,7603900,46.26
2011-11-01,46.46,47.82,46.21,46.88,13690900,45.34
2011-10-31,48.65,48.79,48.03,48.07,8956700,46.49
2011-10-28,48.40,49.48,48.30,49.36,9527900,47.74
2011-10-27,48.38,49.21,47.82,48.73,11887300,47.13
2011-10-26,45.78,46.38,44.99,46.10,9115800,44.58
2011-10-25,47.19,47.19,44.94,44.94,11298200,43.46
2011-10-24,45.24,46.16,45.22,46.09,7992300,44.57
2011-10-21,44.65,45.42,44.45,45.15,7601700,43.66
2011-10-20,44.07,44.37,43.15,44.13,6193700,42.68
2011-10-19,44.92,44.92,43.62,43.80,6746400,42.36
2011-10-18,43.81,45.27,43.20,44.98,7074300,43.50
2011-10-17,45.02,45.34,43.68,43.78,5602400,42.34
2011-10-14,44.56,45.14,44.12,45.09,5329400,43.61
2011-10-13,43.74,44.01,43.02,43.77,4517100,42.33
2011-10-12,43.72,44.40,43.54,43.98,6796700,42.53
2011-10-11,43.04,43.82,42.88,43.42,5330600,41.99
2011-10-10,42.58,43.34,42.53,43.17,5280400,41.75
2011-10-07,42.51,42.86,41.40,41.90,8070700,40.52
2011-10-06,41.59,42.15,40.95,41.86,8400100,40.48
2011-10-05,40.69,41.31,40.00,41.21,8499300,39.85
2011-10-04,37.93,40.26,37.10,40.23,15398300,38.91
2011-10-03,39.56,40.32,38.48,38.49,11851600,37.22
2011-09-30,40.73,41.16,39.94,39.97,8298600,38.65
2011-09-29,41.73,42.02,40.55,41.35,7540800,39.99
2011-09-28,42.54,42.65,40.80,40.89,8129000,39.54
2011-09-27,42.81,43.28,42.01,42.26,10415300,40.87
2011-09-26,40.91,41.60,40.40,41.54,14730200,40.17
2011-09-23,41.30,41.43,40.21,40.46,14706500,39.13
2011-09-22,43.18,43.18,40.83,41.65,21663400,40.28
2011-09-21,45.97,46.24,44.57,44.61,10759000,43.14
2011-09-20,46.45,46.78,45.93,45.96,6683600,44.45
2011-09-19,46.09,46.60,45.33,46.38,7968200,44.85
